Date,Web Clicks,Image Clicks,Web Impressions,Image Impressions,Web CTR,Image CTR,Web Position,Image Position
2026-03-02,0,0,0,0,,,,
2026-03-03,0,0,2,0,0%,,11.5,
2026-03-04,0,0,1,0,0%,,1,
2026-03-05,1,0,8,0,12.5%,,3.4,
2026-03-06,1,0,6,0,16.67%,,15.3,
2026-03-07,0,0,1,0,0%,,1,
2026-03-08,0,0,0,0,,,,
2026-03-09,0,0,0,0,,,,
2026-03-10,0,0,2,0,0%,,9.5,
2026-03-11,0,0,10,1,0%,0%,4.9,56
2026-03-12,0,0,2,1,0%,0%,9,77
2026-03-13,0,0,0,1,,0%,,86
2026-03-14,1,0,5,1,20%,0%,8.8,36
2026-03-15,0,0,2,0,0%,,16,
2026-03-16,0,0,4,0,0%,,8.5,
2026-03-17,0,0,2,0,0%,,79.5,
2026-03-18,0,0,6,0,0%,,16.2,
2026-03-19,1,0,2,0,50%,,6.5,
2026-03-20,0,0,14,0,0%,,4.6,
2026-03-21,1,0,7,0,14.29%,,6.7,
2026-03-22,0,0,8,0,0%,,6,
2026-03-23,0,0,8,0,0%,,7,
2026-03-24,0,0,7,0,0%,,8.6,
2026-03-25,0,0,13,0,0%,,11.9,
2026-03-26,0,0,13,0,0%,,4.6,
2026-03-27,0,0,8,2,0%,0%,6.8,84.5
2026-03-28,0,0,7,0,0%,,3,
2026-03-29,0,0,15,0,0%,,6.7,
2026-03-30,0,0,17,0,0%,,9.5,
2026-03-31,0,0,14,0,0%,,25.1,
2026-04-01,0,0,19,1,0%,0%,4.9,90
2026-04-02,0,0,8,0,0%,,3,
2026-04-03,1,0,11,1,9.09%,0%,4.6,98
2026-04-04,0,0,9,0,0%,,4.9,
2026-04-05,1,0,15,0,6.67%,,13.6,
2026-04-06,0,0,10,0,0%,,6.6,
2026-04-07,1,0,16,1,6.25%,0%,4.6,64
2026-04-08,0,0,22,1,0%,0%,6,63
2026-04-09,0,0,15,0,0%,,6.5,
2026-04-10,0,0,21,0,0%,,9.8,
2026-04-11,0,0,17,0,0%,,5.6,
2026-04-12,0,0,8,0,0%,,7,
2026-04-13,0,0,17,0,0%,,4.2,
2026-04-14,0,0,18,0,0%,,10.6,
2026-04-15,0,0,20,0,0%,,5.1,
2026-04-16,0,0,12,0,0%,,7.1,
2026-04-17,0,0,13,2,0%,0%,6.9,61.5
2026-04-18,0,0,12,0,0%,,8.2,
2026-04-19,0,0,13,1,0%,0%,5.5,79
2026-04-20,0,0,14,0,0%,,5.4,
2026-04-21,0,0,13,0,0%,,6.2,
2026-04-22,0,0,13,2,0%,0%,6.5,54
