Country,Web Clicks,Image Clicks,Web Impressions,Image Impressions,Web CTR,Image CTR,Web Position,Image Position
Pakistan,8,0,364,10,2.2%,0%,6.46,61.9
United States,0,0,64,3,0%,0%,6.45,86
India,0,0,12,2,0%,0%,55.92,86
Saudi Arabia,0,0,7,0,0%,0%,6.57,0
United Arab Emirates,0,0,4,0,0%,0%,5.25,0
Netherlands,0,0,4,0,0%,0%,7.75,0
Indonesia,0,0,4,0,0%,0%,9.75,0
France,0,0,3,0,0%,0%,4.33,0
Philippines,0,0,3,0,0%,0%,7,0
Canada,0,0,3,0,0%,0%,8,0
Malaysia,0,0,2,0,0%,0%,1.5,0
Bahrain,0,0,2,0,0%,0%,3,0
United Kingdom,0,0,2,0,0%,0%,3.5,0
Brazil,0,0,2,0,0%,0%,4.5,0
Germany,0,0,2,0,0%,0%,9,0
Hong Kong,0,0,2,0,0%,0%,14,0
Czechia,0,0,1,0,0%,0%,1,0
China,0,0,1,0,0%,0%,2,0
Colombia,0,0,1,0,0%,0%,4,0
Italy,0,0,1,0,0%,0%,4,0
Mozambique,0,0,1,0,0%,0%,4,0
South Africa,0,0,1,0,0%,0%,5,0
Kenya,0,0,1,0,0%,0%,6,0
Russia,0,0,1,0,0%,0%,6,0
Singapore,0,0,1,0,0%,0%,6,0
Bahamas,0,0,1,0,0%,0%,8,0
Taiwan,0,0,1,0,0%,0%,8,0
Vietnam,0,0,1,0,0%,0%,8,0
Belgium,0,0,1,0,0%,0%,9,0
Qatar,0,0,1,0,0%,0%,9,0
Ukraine,0,0,1,0,0%,0%,10,0
South Korea,0,0,1,0,0%,0%,11,0
Lebanon,0,0,1,0,0%,0%,12,0
Morocco,0,0,1,0,0%,0%,14,0
Puerto Rico,0,0,1,0,0%,0%,15,0
Spain,0,0,1,0,0%,0%,35,0
